0,0,7,18,4,2,0,0,1,0
0,1,5,16,6,0,2,0,0,0
0,2,7,12,3,0,0,0,0,0
0,1,11,13,0,0,1,0,0,0
0,1,8,13,2,1,0,0,0,0
0,2,11,6,1,0,1,0,0,0
0,3,6,11,3,0,0,0,0,0
0,1,15,6,2,0,1,0,0,0
0,1,8,10,2,1,0,0,0,0
0,0,7,5,2,1,0,0,0,0
0,2,15,6,1,0,0,0,0,0
0,0,12,6,1,1,0,0,0,0
0,2,13,8,2,1,0,0,0,0
0,0,7,10,1,3,0,1,0,0
0,2,10,7,3,0,0,0,0,0
0,1,14,8,0,0,0,0,0,0
0,4,10,7,0,0,0,0,0,0
0,2,12,3,1,0,0,0,0,0
0,1,11,7,1,0,0,0,0,0
0,2,10,5,1,0,0,0,0,0
0,2,6,6,2,0,0,0,0,0
0,0,13,2,1,0,0,0,0,0
0,0,11,5,0,0,0,0,0,0
0,1,11,4,0,0,0,0,0,0
0,4,7,4,1,1,0,0,0,0
0,2,7,4,1,1,0,0,0,0
0,2,10,5,0,0,0,0,0,0
0,1,11,2,1,1,0,0,0,0
0,2,10,6,2,0,0,0,0,0
0,2,9,5,1,0,0,0,0,0
